x,y,tvd,md,well
457018.2561,6782705.741,1543.237342,1558.705092,A10
457018.3575,6782705.724,1543.350047,1558.857692,A10
457018.4588,6782705.706,1543.462607,1559.010092,A10
457018.56,6782705.689,1543.575095,1559.162392,A10
457018.6613,6782705.672,1543.687661,1559.314792,A10
457018.7628,6782705.655,1543.800377,1559.467392,A10
457018.864,6782705.638,1543.912873,1559.619691,A10
457018.9652,6782705.621,1544.025375,1559.771992,A10
457019.0665,6782705.604,1544.137952,1559.924392,A10
457019.1679,6782705.586,1544.250678,1560.076991,A10
457019.2691,6782705.569,1544.363187,1560.229292,A10
457019.3704,6782705.552,1544.475771,1560.381691,A10
457019.4716,6782705.535,1544.588286,1560.533992,A10
457019.5728,6782705.518,1544.700802,1560.686292,A10
457019.6742,6782705.501,1544.813543,1560.838892,A10
457019.7755,6782705.484,1544.926139,1560.991292,A10
457019.8767,6782705.467,1545.038664,1561.143592,A10
457019.9779,6782705.449,1545.151265,1561.295992,A10
457020.0793,6782705.432,1545.264016,1561.448592,A10
457020.1805,6782705.415,1545.376549,1561.600892,A10
457020.2817,6782705.398,1545.489084,1561.753192,A10
457020.3829,6782705.381,1545.601695,1561.905591,A10
457020.4843,6782705.364,1545.714458,1562.058192,A10
457020.5855,6782705.347,1545.827002,1562.210492,A10
457020.6867,6782705.33,1545.939622,1562.362892,A10
457020.7879,6782705.312,1546.05217,1562.515192,A10
457020.8891,6782705.295,1546.164722,1562.667492,A10
457020.9904,6782705.278,1546.277499,1562.820092,A10
457021.0917,6782705.261,1546.39013,1562.972492,A10
457021.1928,6782705.244,1546.502691,1563.124792,A10
457021.294,6782705.227,1546.615328,1563.277192,A10
457021.3954,6782705.21,1546.728115,1563.429792,A10
457021.4965,6782705.193,1546.840684,1563.582092,A10
457021.5977,6782705.175,1546.953255,1563.734392,A10
457021.6989,6782705.158,1547.065903,1563.886792,A10
457021.8002,6782705.141,1547.178701,1564.039392,A10
457021.9014,6782705.124,1547.29128,1564.191692,A10
457022.0026,6782705.107,1547.403936,1564.344092,A10
457022.1037,6782705.09,1547.516519,1564.496391,A10
457022.2048,6782705.073,1547.629106,1564.648691,A10
457022.3061,6782705.056,1547.741918,1564.801291,A10
457022.4073,6782705.039,1547.854586,1564.953692,A10
457022.5085,6782705.021,1547.967181,1565.105992,A10
457022.6096,6782705.004,1548.079853,1565.258392,A10
457022.7109,6782704.987,1548.192675,1565.410992,A10
457022.8121,6782704.97,1548.305278,1565.563291,A10
457022.9132,6782704.953,1548.417885,1565.715592,A10
457023.0143,6782704.936,1548.530568,1565.867992,A10
457023.1156,6782704.919,1548.643402,1566.020592,A10
457023.2167,6782704.902,1548.756017,1566.172891,A10
457023.3179,6782704.885,1548.868709,1566.325292,A10
457023.419,6782704.867,1548.981329,1566.477592,A10
457023.5201,6782704.85,1549.093952,1566.629892,A10
457023.6214,6782704.833,1549.2068,1566.782492,A10
457023.7225,6782704.816,1549.319502,1566.934892,A10
457023.8236,6782704.799,1549.432132,1567.087191,A10
457023.9247,6782704.782,1549.544841,1567.239592,A10
457024.026,6782704.765,1549.657699,1567.392192,A10
457024.1271,6782704.748,1549.770337,1567.544491,A10
457024.2281,6782704.731,1549.88298,1567.696792,A10
457024.3293,6782704.713,1549.995699,1567.849192,A10
457024.4305,6782704.696,1550.108567,1568.001792,A10
457024.5316,6782704.679,1550.221217,1568.154092,A10
457024.6327,6782704.662,1550.333942,1568.306491,A10
457024.7338,6782704.645,1550.446598,1568.458792,A10
457024.8348,6782704.628,1550.559255,1568.611092,A10
457024.9361,6782704.611,1550.672136,1568.763692,A10
457025.0372,6782704.594,1550.784872,1568.916092,A10
457025.1383,6782704.577,1550.897537,1569.068392,A10
457025.2394,6782704.56,1551.010279,1569.220792,A10
457025.3406,6782704.543,1551.123171,1569.373392,A10
457025.4417,6782704.526,1551.235844,1569.525692,A10
457025.5427,6782704.508,1551.348519,1569.677992,A10
457025.6438,6782704.491,1551.461271,1569.830392,A10
457025.745,6782704.474,1551.574172,1569.982991,A10
457025.8461,6782704.457,1551.686856,1570.135292,A10
457025.9472,6782704.44,1551.799614,1570.287691,A10
457026.0482,6782704.423,1551.912303,1570.439992,A10
457026.1493,6782704.406,1552.025067,1570.592392,A10
457026.2504,6782704.389,1552.137907,1570.744892,A10
457026.3515,6782704.372,1552.250676,1570.897292,A10
457026.4525,6782704.355,1552.363374,1571.049592,A10
457026.5536,6782704.338,1552.476147,1571.201991,A10
457026.6548,6782704.321,1552.589073,1571.354592,A10
457026.7559,6782704.304,1552.701778,1571.506892,A10
457026.8569,6782704.287,1552.814485,1571.659192,A10
457026.958,6782704.27,1552.927268,1571.811591,A10
457027.0592,6782704.253,1553.040204,1571.964192,A10
457027.1602,6782704.236,1553.152919,1572.116492,A10
457027.2612,6782704.219,1553.26571,1572.268891,A10
457027.3622,6782704.202,1553.378432,1572.421192,A10
457027.4633,6782704.185,1553.491229,1572.573592,A10
457027.5644,6782704.168,1553.604103,1572.726092,A10
457027.6655,6782704.151,1553.716905,1572.878492,A10
457027.7665,6782704.134,1553.829636,1573.030792,A10
457027.8675,6782704.117,1553.942442,1573.183191,A10
457027.9687,6782704.1,1554.055401,1573.335792,A10
457028.0697,6782704.083,1554.168139,1573.488092,A10
457028.1707,6782704.066,1554.280879,1573.640392,A10
457028.2717,6782704.049,1554.393696,1573.792792,A10
457028.3729,6782704.032,1554.506664,1573.945392,A10
457028.4739,6782704.015,1554.619412,1574.097692,A10
457028.5749,6782703.999,1554.732237,1574.250092,A10
457028.6759,6782703.982,1554.844989,1574.402392,A10
457028.7769,6782703.965,1554.957819,1574.554792,A10
457028.878,6782703.948,1555.070724,1574.707291,A10
457028.9791,6782703.931,1555.18356,1574.859692,A10
457029.08,6782703.914,1555.296323,1575.011992,A10
457029.1811,6782703.897,1555.409161,1575.164391,A10
457029.2822,6782703.88,1555.522153,1575.316992,A10
457029.3832,6782703.863,1555.634924,1575.469292,A10
457029.4841,6782703.846,1555.747698,1575.621592,A10
457029.5852,6782703.829,1555.860548,1575.773992,A10
457029.6863,6782703.812,1555.973549,1575.926592,A10
457029.7873,6782703.796,1556.08633,1576.078892,A10
457029.8883,6782703.779,1556.199187,1576.231292,A10
457029.9892,6782703.762,1556.311973,1576.383592,A10
457030.0902,6782703.745,1556.424836,1576.535992,A10
457030.1913,6782703.728,1556.537774,1576.688491,A10
457030.2923,6782703.711,1556.650643,1576.840892,A10
457030.3932,6782703.694,1556.763439,1576.993192,A10
457030.4942,6782703.677,1556.876312,1577.145592,A10
457030.5954,6782703.661,1556.989335,1577.298192,A10
457030.6963,6782703.644,1557.102138,1577.450492,A10
457030.7972,6782703.627,1557.214944,1577.602792,A10
457030.8982,6782703.61,1557.327826,1577.755192,A10
457030.9993,6782703.593,1557.44086,1577.907792,A10
457031.1003,6782703.576,1557.553672,1578.060091,A10
457031.2013,6782703.559,1557.666563,1578.212492,A10
457031.3022,6782703.543,1557.779381,1578.364792,A10
457031.4032,6782703.526,1557.892277,1578.517192,A10
457031.5042,6782703.509,1558.005249,1578.669692,A10
457031.6052,6782703.492,1558.11815,1578.822092,A10
457031.7061,6782703.475,1558.230978,1578.974392,A10
457031.8071,6782703.459,1558.343884,1579.126792,A10
457031.9082,6782703.442,1558.45694,1579.279392,A10
457032.0091,6782703.425,1558.569777,1579.431692,A10
457032.11,6782703.408,1558.682689,1579.584091,A10
457032.2109,6782703.391,1558.795532,1579.736392,A10
457032.312,6782703.374,1558.908598,1579.888992,A10
457032.4129,6782703.358,1559.021443,1580.041291,A10
457032.5139,6782703.341,1559.134367,1580.193691,A10
457032.6148,6782703.324,1559.247219,1580.345992,A10
457032.7157,6782703.307,1559.360147,1580.498392,A10
457032.8167,6782703.291,1559.473151,1580.650892,A10
457032.9177,6782703.274,1559.586083,1580.803291,A10
457033.0186,6782703.257,1559.698945,1580.955592,A10
457033.1195,6782703.24,1559.811883,1581.107992,A10
457033.2206,6782703.224,1559.924972,1581.260592,A10
457033.3214,6782703.207,1560.03784,1581.412891,A10
457033.4224,6782703.19,1560.150787,1581.565292,A10
457033.5233,6782703.173,1560.263661,1581.717592,A10
