depth,poro,perm,well
1868.129,0.270286,82.699677,A10
1868.629,0.260507,89.887177,A10
1869.129,0.264384,118.53187,A10
1869.629,0.272621,174.74274,A10
1870.129,0.297213,252.40141,A10
1870.629,0.327028,349.55438,A10
1871.129,0.320237,371.77911,A10
1871.629,0.301758,288.92749,A10
1872.129,0.294326,200.9003,A10
1872.629,0.290422,139.59476,A10
1873.129,0.275095,104.7366,A10
1873.629,0.256122,96.238297,A10
1874.129,0.26419,108.04263,A10
1874.629,0.280892,138.21561,A10
1875.129,0.267751,168.58492,A10
1875.629,0.245081,193.3483,A10
1876.129,0.255129,211.31479,A10
1876.629,0.275623,222.10416,A10
1877.129,0.261371,228.42467,A10
1877.629,0.236025,231.14102,A10
1878.129,0.230998,221.3869,A10
1878.629,0.232459,196.33134,A10
1879.129,0.22639,150.98279,A10
1879.629,0.217916,83.747498,A10
1880.129,0.214943,36.274971,A10
1880.629,0.213726,21.863449,A10
1881.129,0.213022,17.835894,A10
1881.629,0.212482,16.951769,A10
1882.129,0.209913,15.168082,A10
1882.629,0.206696,11.193947,A10
1883.129,0.20525,8.908134,A10
1883.629,0.20437,9.549091,A10
1884.129,0.204604,10.934175,A10
1884.629,0.205193,12.36649,A10
1885.129,0.207477,12.921271,A10
1885.629,0.210301,12.303248,A10
1886.129,0.212164,11.358411,A10
